CREBBP	3326	0-50
CREBBP	17180	50-500
CREBBP	0	500-1000
CREBBP	290	1-5
CREBBP	59	5-10
CREBBP	11	10-15
CREBBP	43	15-21
CRLF2	980	missense
CRLF2	0	inframe_indel
CRLF2	0	frameshift
CRLF2	98	0-50
CRLF2	882	50-500
CRLF2	0	500-1000
CRLF2	17	1-5
CRLF2	0	5-10
CRLF2	3	10-15
CRLF2	0	15-21
CTCF	1833	missense
CTCF	0	inframe_indel
CTCF	0	frameshift
CTCF	66	0-50
CTCF	1767	50-500
CTCF	0	500-1000
CTCF	50	1-5
CTCF	6	5-10
CTCF	2	10-15
CTCF	1	15-21
CTLA4	860	missense
CTLA4	0	inframe_indel
CTLA4	0	frameshift
CTLA4	28	0-50
CTLA4	832	50-500
CTLA4	0	500-1000
CTLA4	14	1-5
CTLA4	5	5-10
CTLA4	0	10-15
CTLA4	0	15-21
CTNNB1	22789	missense
CTNNB1	8532	inframe_indel
CTNNB1	0	frameshift
CTNNB1	3136	0-50
CTNNB1	28185	50-500
CTNNB1	0	500-1000
CTNNB1	548	1-5
CTNNB1	73	5-10
CTNNB1	51	10-15
CTNNB1	41	15-21
CUL3	369	missense
CUL3	0	inframe_indel
CUL3	0	frameshift
CUL3	3	0-50
CUL3	366	50-500
CUL3	0	500-1000
CUL3	5	1-5
CUL3	6	5-10
CUL3	0	10-15
CUL3	0	15-21
CYSLTR2	1386	missense
CYSLTR2	0	inframe_indel
CYSLTR2	0	frameshift
CYSLTR2	30	0-50
CYSLTR2	1356	50-500
CYSLTR2	0	500-1000
CYSLTR2	19	1-5
CYSLTR2	7	5-10
CYSLTR2	2	10-15
CYSLTR2	4	15-21
DICER1	13775	missense
DICER1	0	inframe_indel
DICER1	0	frameshift
DICER1	1147	0-50
DICER1	12628	50-500
DICER1	0	500-1000
DICER1	190	1-5
DICER1	47	5-10
DICER1	23	10-15
DICER1	1	15-21
DIS3	5850	missense
DIS3	0	inframe_indel
DIS3	0	frameshift
DIS3	135	0-50
DIS3	5715	50-500
DIS3	0	500-1000
DIS3	117	1-5
DIS3	12	5-10
DIS3	0	10-15
DIS3	5	15-21
DNMT1	899	missense
DNMT1	0	inframe_indel
DNMT1	0	frameshift
DNMT1	15	0-50
DNMT1	884	50-500
DNMT1	0	500-1000
DNMT1	11	1-5
DNMT1	0	5-10
DNMT1	3	10-15
DNMT1	1	15-21
DNMT3A	1635	missense
DNMT3A	0	inframe_indel
DNMT3A	0	frameshift
DNMT3A	100	0-50
DNMT3A	1535	50-500
DNMT3A	0	500-1000
DNMT3A	39	1-5
DNMT3A	20	5-10
DNMT3A	0	10-15
DNMT3A	3	15-21
DNMT3B	366	missense
DNMT3B	0	inframe_indel
DNMT3B	0	frameshift
DNMT3B	1	0-50
DNMT3B	365	50-500
DNMT3B	0	500-1000
DNMT3B	12	1-5
DNMT3B	1	5-10
DNMT3B	0	10-15
DNMT3B	2	15-21
EGFR	22733	missense
EGFR	23502	inframe_indel
EGFR	0	frameshift
EGFR	5474	0-50
EGFR	40761	50-500
EGFR	0	500-1000
EGFR	779	1-5
EGFR	139	5-10
EGFR	53	10-15
EGFR	64	15-21
EIF1AX	2540	missense
EIF1AX	0	inframe_indel
EIF1AX	0	frameshift
EIF1AX	22	0-50
EIF1AX	2518	50-500
EIF1AX	0	500-1000
EIF1AX	81	1-5
EIF1AX	9	5-10
EIF1AX	3	10-15
EIF1AX	1	15-21
EIF4A2	24	missense
EIF4A2	0	inframe_indel
EIF4A2	0	frameshift
EIF4A2	0	0-50
EIF4A2	24	50-500
EIF4A2	0	500-1000
EIF4A2	0	1-5
EIF4A2	0	5-10
EIF4A2	0	10-15
EIF4A2	0	15-21
ELOC	2471	missense
ELOC	0	inframe_indel
ELOC	0	frameshift
ELOC	238	0-50
ELOC	2233	50-500
ELOC	0	500-1000
ELOC	45	1-5
ELOC	8	5-10
ELOC	0	10-15
ELOC	4	15-21
EP300	10508	missense
EP300	0	inframe_indel
EP300	0	frameshift
EP300	1525	0-50
EP300	8983	50-500
EP300	0	500-1000
EP300	164	1-5
EP300	33	5-10
EP300	4	10-15
EP300	37	15-21
EPAS1	2289	missense
EPAS1	0	inframe_indel
EPAS1	0	frameshift
EPAS1	93	0-50
EPAS1	2196	50-500
EPAS1	0	500-1000
EPAS1	21	1-5
EPAS1	14	5-10
EPAS1	4	10-15
EPAS1	0	15-21
EPHA7	1655	missense
EPHA7	0	inframe_indel
EPHA7	0	frameshift
EPHA7	19	0-50
EPHA7	1636	50-500
EPHA7	0	500-1000
EPHA7	26	1-5
EPHA7	4	5-10
EPHA7	2	10-15
EPHA7	0	15-21
EPHB1	1284	missense
EPHB1	0	inframe_indel
EPHB1	0	frameshift
EPHB1	122	0-50
EPHB1	1162	50-500
EPHB1	0	500-1000
EPHB1	29	1-5
EPHB1	8	5-10
EPHB1	0	10-15
EPHB1	1	15-21
ERBB2	33723	missense
ERBB2	3536	inframe_indel
ERBB2	0	frameshift
ERBB2	5178	0-50
ERBB2	32081	50-500
ERBB2	0	500-1000
ERBB2	576	1-5
ERBB2	117	5-10
ERBB2	52	10-15
ERBB2	31	15-21
ERBB3	11002	missense
ERBB3	0	inframe_indel
ERBB3	0	frameshift
ERBB3	695	0-50
ERBB3	10307	50-500
ERBB3	0	500-1000
ERBB3	207	1-5
ERBB3	41	5-10
ERBB3	13	10-15
ERBB3	13	15-21
ERBB4	10369	missense
ERBB4	0	inframe_indel
ERBB4	0	frameshift
ERBB4	1194	0-50
ERBB4	9175	50-500
ERBB4	0	500-1000
ERBB4	113	1-5
ERBB4	34	5-10
ERBB4	13	10-15
ERBB4	5	15-21
ERCC2	13496	missense
ERCC2	0	inframe_indel
ERCC2	0	frameshift
ERCC2	1301	0-50
ERCC2	12195	50-500
ERCC2	0	500-1000
ERCC2	216	1-5
ERCC2	32	5-10
ERCC2	17	10-15
ERCC2	18	15-21
ERRFI1	571	missense
ERRFI1	0	inframe_indel
ERRFI1	0	frameshift
ERRFI1	0	0-50
ERRFI1	571	50-500
ERRFI1	0	500-1000
ERRFI1	19	1-5
ERRFI1	3	5-10
ERRFI1	2	10-15
ERRFI1	0	15-21
ESR1	3280	missense
ESR1	584	inframe_indel
ESR1	0	frameshift
ESR1	48	0-50
ESR1	3816	50-500
ESR1	0	500-1000
ESR1	59	1-5
ESR1	8	5-10
ESR1	2	10-15
ESR1	2	15-21
ETV6	2351	missense
ETV6	0	inframe_indel
ETV6	0	frameshift
ETV6	251	0-50
ETV6	2100	50-500
ETV6	0	500-1000
ETV6	35	1-5
ETV6	8	5-10
ETV6	4	10-15
ETV6	1	15-21
EZH2	4270	missense
EZH2	0	inframe_indel
EZH2	0	frameshift
EZH2	362	0-50
EZH2	3908	50-500
EZH2	0	500-1000
EZH2	62	1-5
EZH2	13	5-10
EZH2	7	10-15
EZH2	9	15-21
FAT1	138	missense
FAT1	0	inframe_indel
FAT1	0	frameshift
FAT1	0	0-50
FAT1	138	50-500
FAT1	0	500-1000
FAT1	2	1-5
FAT1	1	5-10
FAT1	0	10-15
FAT1	0	15-21
FBXW7	39015	missense
FBXW7	0	inframe_indel
FBXW7	0	frameshift
FBXW7	2991	0-50
FBXW7	36024	50-500
FBXW7	0	500-1000
FBXW7	647	1-5
FBXW7	84	5-10
FBXW7	56	10-15
FBXW7	74	15-21
FGFR1	745	missense
FGFR1	0	inframe_indel
FGFR1	0	frameshift
FGFR1	27	0-50
FGFR1	718	50-500
FGFR1	0	500-1000
FGFR1	15	1-5
FGFR1	6	5-10
FGFR1	0	10-15
FGFR1	2	15-21
FGFR2	9242	missense
FGFR2	0	inframe_indel
FGFR2	0	frameshift
FGFR2	455	0-50
FGFR2	8787	50-500
FGFR2	0	500-1000
FGFR2	177	1-5
